volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.0,1745704800000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-26 22:00:00,BTC-27MAR26-65000-P
0.0,1745708400000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-26 23:00:00,BTC-27MAR26-65000-P
0.0,1745712000000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 00:00:00,BTC-27MAR26-65000-P
0.0,1745715600000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 01:00:00,BTC-27MAR26-65000-P
0.0,1745719200000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 02:00:00,BTC-27MAR26-65000-P
0.0,1745722800000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 03:00:00,BTC-27MAR26-65000-P
0.0,1745726400000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 04:00:00,BTC-27MAR26-65000-P
0.0,1745730000000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 05:00:00,BTC-27MAR26-65000-P
0.0,1745733600000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 06:00:00,BTC-27MAR26-65000-P
0.0,1745737200000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 07:00:00,BTC-27MAR26-65000-P
0.0,1745740800000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 08:00:00,BTC-27MAR26-65000-P
0.0,1745744400000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 09:00:00,BTC-27MAR26-65000-P
0.0,1745748000000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 10:00:00,BTC-27MAR26-65000-P
0.0,1745751600000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 11:00:00,BTC-27MAR26-65000-P
0.0,1745755200000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 12:00:00,BTC-27MAR26-65000-P
0.0,1745758800000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 13:00:00,BTC-27MAR26-65000-P
0.0,1745762400000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 14:00:00,BTC-27MAR26-65000-P
0.0,1745766000000,ok,0.0465,0.0465,0.0465,0.0,0.0465,2025-04-27 15:00:00,BTC-27MAR26-65000-P
